May 29 07:32:23.778 INFO: manager: 1.1.0
May 29 07:32:23.778 INFO: manager: Copyright (C) 2003-2010
May 29 07:32:23.778 INFO: manager:   Noriaki Ando
May 29 07:32:23.778 INFO: manager:   Intelligent Systems Research Institute, AIST
May 29 07:32:23.778 INFO: manager: Manager starting.
May 29 07:32:23.778 INFO: manager: Starting local logging.
May 29 07:32:23.783 WARNING: NamingOnCorba: No endpoint for the CORBA naming service (localhost) was found.
May 29 07:32:23.783 INFO: NamingManager: NameServer connection succeeded: corba/localhost
May 29 07:32:23.784 INFO: ManagerServant: Master manager not found
May 29 07:32:25.926 WARNING: SdoServiceAdmin: No available SDO service in the factory: 
May 29 07:32:25.928 WARNING: SdoServiceAdmin: No available SDO service in the factory: IDL:OpenRTM/ComponentObserver:1.0
May 29 07:37:27.101 WARNING: user_head: buffer empty
May 29 07:37:27.601 WARNING: user_head: buffer empty
May 29 07:37:28.102 WARNING: user_head: buffer empty
May 29 07:37:28.602 WARNING: user_head: buffer empty
May 29 07:37:28.602 WARNING: user_neck: buffer empty
May 29 07:37:29.102 WARNING: user_head: buffer empty
May 29 07:37:29.102 WARNING: user_neck: buffer empty
May 29 07:37:29.603 WARNING: user_head: buffer empty
May 29 07:37:29.603 WARNING: user_neck: buffer empty
May 29 07:37:29.603 WARNING: user_left_shoulder: buffer empty
May 29 07:37:30.103 WARNING: user_head: buffer empty
May 29 07:37:30.103 WARNING: user_neck: buffer empty
May 29 07:37:30.103 WARNING: user_left_shoulder: buffer empty
May 29 07:37:30.604 WARNING: user_head: buffer empty
May 29 07:37:30.604 WARNING: user_neck: buffer empty
May 29 07:37:30.604 WARNING: user_left_shoulder: buffer empty
May 29 07:37:31.105 WARNING: user_head: buffer empty
May 29 07:37:31.105 WARNING: user_neck: buffer empty
May 29 07:37:31.105 WARNING: user_left_shoulder: buffer empty
May 29 07:37:31.105 WARNING: user_left_elbow: buffer empty
May 29 07:37:31.605 WARNING: user_head: buffer empty
May 29 07:37:31.605 WARNING: user_neck: buffer empty
May 29 07:37:31.605 WARNING: user_left_shoulder: buffer empty
May 29 07:37:31.605 WARNING: user_left_elbow: buffer empty
May 29 07:37:32.106 WARNING: user_head: buffer empty
May 29 07:37:32.106 WARNING: user_neck: buffer empty
May 29 07:37:32.106 WARNING: user_left_shoulder: buffer empty
May 29 07:37:32.106 WARNING: user_left_elbow: buffer empty
May 29 07:37:32.106 WARNING: user_left_hand: buffer empty
May 29 07:37:32.606 WARNING: user_head: buffer empty
May 29 07:37:32.606 WARNING: user_neck: buffer empty
May 29 07:37:32.606 WARNING: user_left_shoulder: buffer empty
May 29 07:37:32.606 WARNING: user_left_elbow: buffer empty
May 29 07:37:32.606 WARNING: user_left_hand: buffer empty
May 29 07:37:33.107 WARNING: user_head: buffer empty
May 29 07:37:33.107 WARNING: user_neck: buffer empty
May 29 07:37:33.107 WARNING: user_left_shoulder: buffer empty
May 29 07:37:33.107 WARNING: user_left_elbow: buffer empty
May 29 07:37:33.107 WARNING: user_left_hand: buffer empty
May 29 07:37:33.607 WARNING: user_head: buffer empty
May 29 07:37:33.607 WARNING: user_neck: buffer empty
May 29 07:37:33.607 WARNING: user_left_shoulder: buffer empty
May 29 07:37:33.607 WARNING: user_left_elbow: buffer empty
May 29 07:37:33.607 WARNING: user_left_hand: buffer empty
May 29 07:37:34.108 WARNING: user_head: buffer empty
May 29 07:37:34.108 WARNING: user_neck: buffer empty
May 29 07:37:34.108 WARNING: user_left_shoulder: buffer empty
May 29 07:37:34.108 WARNING: user_left_elbow: buffer empty
May 29 07:37:34.108 WARNING: user_left_hand: buffer empty
May 29 07:37:34.108 WARNING: user_right_shoulder: buffer empty
May 29 07:37:34.608 WARNING: user_head: buffer empty
May 29 07:37:34.608 WARNING: user_neck: buffer empty
May 29 07:37:34.608 WARNING: user_left_shoulder: buffer empty
May 29 07:37:34.608 WARNING: user_left_elbow: buffer empty
May 29 07:37:34.608 WARNING: user_left_hand: buffer empty
May 29 07:37:34.608 WARNING: user_right_shoulder: buffer empty
May 29 07:37:35.109 WARNING: user_head: buffer empty
May 29 07:37:35.109 WARNING: user_neck: buffer empty
May 29 07:37:35.109 WARNING: user_left_shoulder: buffer empty
May 29 07:37:35.109 WARNING: user_left_elbow: buffer empty
May 29 07:37:35.109 WARNING: user_left_hand: buffer empty
May 29 07:37:35.109 WARNING: user_right_shoulder: buffer empty
May 29 07:37:35.609 WARNING: user_head: buffer empty
May 29 07:37:35.609 WARNING: user_neck: buffer empty
May 29 07:37:35.609 WARNING: user_left_shoulder: buffer empty
May 29 07:37:35.609 WARNING: user_left_elbow: buffer empty
May 29 07:37:35.609 WARNING: user_left_hand: buffer empty
May 29 07:37:35.609 WARNING: user_right_shoulder: buffer empty
May 29 07:37:36.110 WARNING: user_head: buffer empty
May 29 07:37:36.110 WARNING: user_neck: buffer empty
May 29 07:37:36.110 WARNING: user_left_shoulder: buffer empty
May 29 07:37:36.110 WARNING: user_left_elbow: buffer empty
May 29 07:37:36.110 WARNING: user_left_hand: buffer empty
May 29 07:37:36.110 WARNING: user_right_shoulder: buffer empty
May 29 07:37:36.110 WARNING: user_right_elbow: buffer empty
May 29 07:37:36.610 WARNING: user_head: buffer empty
May 29 07:37:36.610 WARNING: user_neck: buffer empty
